Region/Country,Second Tier Authority,Local Authority,Local Authority Code,Calendar Year,Industry Electricity,Industry Gas ,Large Industrial Installations,Industry 'Other',Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport 'Other',Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,Net Emissions: Indirect N2O,LULUCF Net Emissions,Agriculture Electricity,Agriculture Gas,Agriculture 'Other',Agriculture Livestock,Agriculture Soils,Agriculture Total,Landfill,Waste Management 'Other',Waste Management Total,Grand Total,"Population ('000s, mid-year estimate)",Per Capita Emissions (tCO2e),Area (km2),Emissions per km2 (kt CO2e)
Scotland,Scotland,Aberdeen City,S12000033,2005,109.37845315355503,49.984258065716986,31.83829337429424,117.2367786805682,308.4377832741344,282.5283070734634,104.15330785205154,1.460580206791288,388.14219513230626,73.27268968977162,112.05002622805611,6.450731422949145,191.77344734077687,278.40033354572523,319.58315196584795,10.349539248944739,608.333024760518,179.66054117395927,0.0,214.18129771624962,2.7320495713051947,21.86992372615238,418.4438121876665,-13.37353371492322,39.358211742479405,-15.255351889335467,-0.0009355706002964204,5.054773390967399,0.0,0.5435328197678473,16.326696778355668,9.19941322134993,1.4393782914114959,3.2611910708929606,[x],[x],[x],[x],12.211661404904577,[x],[x],208.69,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2006,111.34735110658269,37.081638636317095,94.04284861909595,113.22749486009054,355.69933322208624,287.6140382154862,77.26783339404687,1.1990014309596022,366.08087304049263,74.59165557915466,83.12614296116651,5.171226208144747,162.8890247484659,286.25704957564756,310.703806181328,10.44742815154329,607.4082839085188,186.4089134978444,0.0,213.64882906167946,2.71282446144154,22.38107638445764,425.151643405423,-13.580381759861156,38.51087670420371,-15.556518912016347,-0.0009355706002964204,4.787276518196549,0.0,0.5203011263832674,14.68061810630573,9.36500987533756,1.067826306292399,3.082960019050662,[x],[x],[x],[x],14.242055637420798,[x],[x],209.62,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2007,108.23663331809809,35.19311403199686,80.33186275916769,112.55481212536188,336.3164222346245,279.57894716030336,73.33267276324725,1.0929147880979513,354.00453471164855,72.5077839147045,78.89262545715162,4.969161590273169,156.3695709621293,284.3435062299948,296.89822781712365,9.733477167860432,590.9752112149788,165.10201471930975,0.0,218.38861416656107,2.924431439110942,22.78098942103916,409.19604974602095,-13.416465346144141,37.83805351027498,-15.658656328410268,-0.0009355706002964204,4.745526410472908,0.0,0.5014183789308988,14.008941054524081,9.103379019111255,1.0134431580083705,2.927466003480009,[x],[x],[x],[x],14.951108642355884,[x],[x],212.46,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2008,112.44074797033754,35.86793580626315,68.89057021988815,103.10447768064535,320.3037316771342,290.4383199270076,74.73881387087388,1.1203201506801332,366.29745394856167,75.32412277717955,80.40537768018923,4.8470325535814665,160.57653301095024,276.4873125242894,307.870892008036,10.059395887964923,594.4176004202902,154.1424675608788,0.0,212.04166748156513,2.9470372633810036,22.323563148077664,391.4547354539026,-14.195333013058336,37.474952638452926,-15.997397510384026,-0.0009355706002964204,4.751881235561645,0.0,0.4867870336950667,12.519954813666978,9.45697140226177,1.0328757523898582,2.7612844390445703,[x],[x],[x],[x],13.986116492655789,[x],[x],214.02,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2009,98.18455384385412,33.05086193888705,62.396192530666404,93.25644730867191,286.8880556220795,253.61408009056134,68.8688145329817,1.5145268954820819,323.9974215190252,65.77389000034113,74.09032544292576,4.576158353497311,144.4403737967642,247.13681997456297,279.6140954003524,9.220265128091096,535.9711805030065,148.54335425861848,0.0,202.0865153923793,2.9600915409897217,20.973152921492066,374.5631141134795,-14.473816110067608,36.753806362169634,-16.1012491565009,-0.0009355706002964204,4.710666749664849,0.0,0.4687142299368549,11.357186504602534,8.257936153983161,0.9517535125704202,2.8030692884664115,[x],[x],[x],[x],13.812768804393164,[x],[x],217.02,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2010,101.96895657979827,37.110108897135675,71.36110733080987,97.19080104483857,307.6309738525824,263.3893225395421,77.32715750836637,0.8890627406865417,341.605542788595,68.30906360480483,83.18996492421832,4.498224521437506,155.99725305046064,250.8551036507726,308.516355508803,10.051521468625959,569.4229806282016,147.82845511506153,0.0,193.4371042760607,2.9716568480616368,20.334742309044294,364.57195854822817,-14.07001121130296,35.91860501432605,-16.374373885740145,-0.0009355706002964204,4.715128787263748,0.0,0.45026677696923045,10.638679910915625,8.576228135266552,1.06864615391961,2.833335921424463,[x],[x],[x],[x],13.525973377305743,[x],[x],219.73,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2011,96.80146942167012,37.696507362356634,70.86362989413725,84.6868428121948,290.0484494903588,250.0415254504739,78.54904900452163,0.9475409048206368,329.5381153598162,64.84736093762737,84.50449805826453,5.136180684799015,154.48803968069092,236.3963513486182,261.1107749465962,8.678578614815542,506.18570491003,142.2681620599093,0.0,183.64500505194195,2.8971095067407258,20.961872897921605,349.77214951651354,-13.584728102247304,35.24491783665853,-16.93510312033928,-0.0009355706002964204,4.737812400856152,0.0,0.4402300993786999,9.9021935437065,8.141610088356506,1.085532454799506,2.8697549363341306,[x],[x],[x],[x],13.92105078307622,[x],[x],222.46,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2012,100.75839193838749,43.73687439017572,70.48330089518068,89.16141214750117,304.13997937124503,260.2623924278077,91.13549583665585,0.7605554711914675,352.158443735655,67.49810564405384,98.04522688141434,4.195132452752537,169.73846497822072,246.91525942298753,288.5812625796238,8.89420804149825,544.3907300441095,144.076384847958,0.0,175.0345074846937,2.91766157547018,20.88252738661367,342.91108129473554,-14.006846271192753,34.782305956527125,-17.191817559389936,-0.0009355706002964204,4.683819087207699,0.0,0.43157600936929036,8.69810165192113,8.474412064126298,1.2594746819817042,2.932946760496824,[x],[x],[x],[x],13.81795735088865,[x],[x],224.91,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2013,93.92576282998962,39.92104227148685,73.01645795023818,81.56067732618023,288.42394037789484,242.61347640093325,83.18436176466415,0.8398842506628965,326.6377224162603,62.9209234112599,89.49125197958013,4.29396184509592,156.70613723593593,222.1904129616275,291.57689156424067,9.159250758048264,522.9265552839165,139.71213933198908,0.0,170.6490263429244,2.9322257173878863,21.53161781951006,334.82500921181145,-14.242212681841172,34.1672115870819,-17.17647084157652,-0.0009355706002964204,4.736152629851166,0.0,0.4214407890939717,7.905185912009048,7.899745146245017,1.1495915682203617,2.8948553234700425,[x],[x],[x],[x],14.061823700274989,[x],[x],227.07,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2014,80.60966315514418,33.395565532816775,73.77412145903152,87.95063448910818,275.72998463610065,208.21753287196498,69.587081061797,0.9221489045247994,278.7267628382868,54.00046045697733,74.86304966121762,4.611065802446364,133.4745759206413,187.3905806726505,249.12384243486352,8.718023402117291,445.2324465096313,137.2040501596373,0.0,170.5396275007191,2.994745810826509,22.309095484388738,333.04751895557166,-14.201511525156784,33.531055743944975,-17.24634662919433,-0.0009355706002964204,4.628858653800149,0.0,0.4101508171013014,7.121271489895016,6.779777731514715,0.9616798151559589,2.916917902596569,[x],[x],[x],[x],14.956574116111842,[x],[x],228.92,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2015,67.4632372679732,37.169319134942974,75.38761419301693,91.44299301667901,271.4631636126121,174.2598625732746,77.4505351949618,1.044188440965537,252.75458620920196,45.19366207221748,83.32269688736069,0.9565124787236534,129.4728714383018,154.97135411216237,263.6207234682879,8.952666517862552,427.54474409831283,141.13156812410384,0.0,167.66575339433564,2.960131699486465,23.41548988163335,335.1729430995593,-13.894005541274836,33.059557036826796,-15.598985158796328,-0.0009355706002964204,4.546481844456018,0.0,0.39928414101449494,8.511396751625849,5.674080945419628,1.0703512093556053,3.047964481541998,[x],[x],[x],[x],14.605280757600518,[x],[x],230.35,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2016,50.173843610694014,35.18281237693157,81.67799860485688,86.94328594729832,253.97794053978077,130.17703436733888,70.10326205260004,0.8601792693543496,201.14047568929325,37.36011884154569,85.72894280587698,0.9751933860857268,124.0642550335084,120.59285348632804,265.66579743045,8.922932568481883,395.1815834852599,141.6873447024264,0.0,169.2579287149807,2.9455976408020623,25.11762848702604,339.00849954523517,-14.43975962402384,32.78798027159955,-17.671358558186295,-0.0009355706002964204,5.012749834703669,0.0,0.4005530228133528,6.089229376306142,4.376680473133823,1.183880424918454,3.214748044329938,[x],[x],[x],[x],13.974430483183927,[x],[x],229.84,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2017,43.26815902387081,34.92041219520441,84.96330439674023,91.51775858062939,254.66963419644483,112.11537406376112,69.95038996325857,0.9487787290932167,183.01454275611292,31.97183366571607,83.90563627554789,1.210464061969194,117.08793400323316,101.74603471174211,261.2636591468356,8.885491873911471,371.8951857324892,142.22805012877993,0.0,167.37236342641415,2.916418380256026,25.890008072726552,338.4068400081767,-14.655603166764626,32.31456838541771,-17.823103216399158,-0.0009355706002964204,5.095019204913698,0.0,0.39602910645131434,5.325974743018638,4.293437656600472,0.8248977511943917,3.187681682661483,[x],[x],[x],[x],15.198471429075846,[x],[x],228.8,[x],205.6013,[x]
Scotland,Scotland,Aberdeen City,S12000033,2018,43.39812354626761,24.515184242004196,77.01874040022827,92.50313340872367,237.43518159722373,103.91664541835888,71.57941126127398,0.9653543883936397,176.4614110680265,26.931736064813922,92.75198401641951,1.2917485664209885,120.97546864765442,91.4475623593641,259.0185694270759,9.25059064487181,359.7167224313118,132.09304203596935,0.0,168.65790418785463,2.762475440891351,26.588613171379734,330.1020348360951,-14.789401246422704,31.732805205205203,-18.116174050018056,-0.0009355706002964204,5.310263935492533,0.0,0.39162434711952804,4.528182620776205,4.739673129910511,0.6706596937228212,3.1745716737852816,14.075869349107597,6.464627275402288,29.125401121928498,21.014076641788698,14.579786943578146,35.59386358536685,1293.9382659083826,227.56,5.686141087662079,205.6013,6.293434262859148
